song_popularity,probability
0,0.5111873
1,0.575383
0,0.76780456
0,0.6521721
0,0.6213035
0,0.6674179
0,0.6772678
1,0.5962779
0,0.56810963
0,0.71988875
1,0.53968465
1,0.5352735
0,0.5167382
0,0.59636015
0,0.6973306
1,0.5704661
0,0.64413637
0,0.6324948
0,0.5864167
0,0.7132842
0,0.61704826
0,0.678346
0,0.5308145
0,0.59473467
0,0.6042179
0,0.61579037
1,0.6580033
0,0.6808589
0,0.59193504
0,0.6766994
0,0.641049
0,0.66908324
0,0.5688234
0,0.77167094
1,0.64606595
0,0.51704097
1,0.5679807
0,0.6752469
0,0.7684957
1,0.6149306
1,0.5878082
0,0.66540194
0,0.56272244
0,0.5843787
0,0.62782544
0,0.7035624
0,0.7048056
0,0.5978675
0,0.73434794
0,0.7013074
0,0.6334229
0,0.66778207
0,0.5780233
0,0.5030263
0,0.54261744
0,0.6395854
0,0.65312934
0,0.6406956
0,0.6341384
0,0.6722808
0,0.7062699
0,0.63861096
0,0.6564168
0,0.6584407
0,0.61280787
0,0.5604547
0,0.72744143
0,0.5688234
0,0.6509696
0,0.6577927
0,0.5971533
0,0.642485
0,0.6468986
0,0.6661447
1,0.56485856
1,0.5152876
1,0.6052688
0,0.72691983
0,0.60491467
0,0.5303484
0,0.64561987
0,0.52195096
1,0.571445
0,0.6109374
0,0.73722434
0,0.63319397
0,0.5911528
0,0.5930003
0,0.64850426
0,0.569759
0,0.7022896
0,0.5896943
0,0.54298747
0,0.6874681
0,0.66844714
1,0.5252618
0,0.6592969
0,0.5192199
0,0.5356362
1,0.5432383
0,0.63409996
1,0.56209093
0,0.52160656
0,0.5872123
0,0.6035514
0,0.63358927
0,0.7024792
0,0.71419704
0,0.6279274
1,0.5377287
0,0.6493648
0,0.6859211
1,0.552075
0,0.66091955
0,0.60682666
0,0.66971874
1,0.5224413
0,0.5838448
0,0.583231
0,0.67522144
0,0.6891378
0,0.6093016
0,0.52605474
0,0.61860156
0,0.5121977
0,0.6869825
0,0.53761995
1,0.5141475
0,0.63255864
0,0.66512454
0,0.5303812
0,0.5158508
0,0.65765494
0,0.61815196
0,0.6726393
0,0.68172675
0,0.662737
0,0.6633299
0,0.5923911
0,0.62293273
0,0.68921304
0,0.65732867
0,0.6403597
0,0.76303744
1,0.5728874
0,0.673182
0,0.65350044
0,0.5574657
0,0.6764065
1,0.51693445
0,0.5571027
0,0.60529256
1,0.6077398
0,0.7202077
0,0.65220165
0,0.67496276
0,0.63503116
0,0.65130925
0,0.64792156
0,0.67624015
0,0.65130925
1,0.5738094
0,0.6066202
0,0.7576964
0,0.5285618
1,0.53381884
1,0.59124154
0,0.65134966
0,0.52852464
0,0.56935996
0,0.6039888
1,0.6229757
0,0.59403414
0,0.68117905
0,0.7079758
0,0.6182892
0,0.5596782
1,0.51830876
0,0.6989065
1,0.59898776
0,0.61997676
0,0.6869856
0,0.69348174
0,0.5856699
0,0.6174791
0,0.644724
0,0.5831457
0,0.7123217
0,0.66980225
1,0.5284451
0,0.67740536
0,0.6499655
0,0.71454024
0,0.65614283
0,0.6585588
0,0.65548253
0,0.5650296
0,0.57330626
0,0.5023099
0,0.58416843
0,0.6912498
1,0.55507165
0,0.7070888
0,0.72416437
0,0.6050887
1,0.59832084
0,0.52183944
0,0.6192478
1,0.5917703
1,0.54313195
0,0.5316074
0,0.608006
0,0.5371396
0,0.6434452
0,0.57130456
0,0.6573417
0,0.6726393
0,0.6584891
0,0.62077236
1,0.5802044
0,0.52586627
0,0.6030462
1,0.5086963
0,0.5253626
0,0.5593188
1,0.500311
1,0.5374331
0,0.6997218
0,0.6108475
0,0.5640019
0,0.52730936
1,0.56485856
0,0.66778207
1,0.50078654
0,0.5427158
0,0.5979818
0,0.7472291
0,0.68130755
0,0.6363088
0,0.63824636
1,0.55039877
0,0.5470247
0,0.7124335
0,0.65012
0,0.73951876
0,0.58895016
0,0.53364503
0,0.7051096
0,0.655072
0,0.5120963
0,0.5671174
0,0.6429965
0,0.6099945
1,0.544685
1,0.52560693
0,0.5643434
0,0.59044254
0,0.550857
0,0.6755135
0,0.57876337
0,0.6306884
0,0.5851406
0,0.7198491
0,0.5770349
0,0.66082853
1,0.50128365
0,0.72464406
0,0.6432032
0,0.6370537
0,0.55930245
0,0.5843787
0,0.6682687
0,0.6041323
0,0.6231925
0,0.6327498
1,0.5380594
0,0.545381
0,0.62613785
0,0.60118353
0,0.57483494
0,0.6041323
0,0.7126783
0,0.572562
0,0.67759156
0,0.5415908
0,0.6812496
0,0.655212
0,0.6063617
0,0.6599654
0,0.6678883
0,0.6950499
0,0.5716701
0,0.5515204
0,0.5429034
0,0.74899304
0,0.7209091
0,0.6383898
0,0.6685258
0,0.69681174
0,0.6799458
0,0.57607687
0,0.6513093
0,0.5744015
0,0.5009339
0,0.62684566
0,0.6315987
0,0.71573776
0,0.5181062
0,0.7258179
0,0.6494212
0,0.53975827
0,0.5947386
0,0.5637795
0,0.59260285
0,0.5667689
0,0.541994
0,0.5633037
0,0.54636776
0,0.6093016
0,0.6901832
0,0.56810963
0,0.6120261
0,0.6632397
0,0.61600375
0,0.6125798
0,0.57230186
1,0.57768786
0,0.62271607
0,0.7330341
0,0.5859922
0,0.57004076
0,0.69258696
0,0.53631675
0,0.6289851
0,0.72500086
1,0.516829
0,0.67290425
0,0.61449844
0,0.5901325
0,0.6015364
0,0.6598971
0,0.6375421
0,0.723513
0,0.58811796
0,0.5942811
0,0.6795285
0,0.5853801
0,0.602164
0,0.58772343
0,0.6726393
0,0.6252606
0,0.6539377
0,0.6143151
0,0.56518483
0,0.5842539
0,0.6341384
0,0.639938
0,0.6060742
0,0.6632428
0,0.541994
0,0.61459017
0,0.68520963
0,0.623368
0,0.52884436
0,0.54727787
0,0.69258696
0,0.5627309
0,0.6225854
0,0.68968433
0,0.6833247
0,0.6001394
0,0.7023208
0,0.53975827
0,0.6521409
0,0.6135459
0,0.69046235
0,0.6878714
0,0.7166801
0,0.53313994
0,0.67069125
0,0.5953193
0,0.59423685
0,0.676216
0,0.5608097
0,0.55188274
0,0.5847175
0,0.6045381
0,0.62104785
0,0.59528124
0,0.5674012
0,0.6270105
0,0.5244688
0,0.5809903
0,0.65338874
0,0.6729522
0,0.616525
1,0.50296485
0,0.6763617
0,0.6051208
1,0.5340051
0,0.6665231
0,0.6482716
0,0.55243564
0,0.55166566
0,0.7085748
0,0.60651827
0,0.723513
0,0.66310406
0,0.66902626
0,0.6425214
0,0.63615274
0,0.5992288
0,0.57383084
0,0.6647394
0,0.56419903
0,0.51214135
0,0.5163397
0,0.6673431
1,0.5074211
0,0.572832
0,0.59370184
0,0.58942384
0,0.6146152
0,0.6112014
1,0.51736474
0,0.53607917
1,0.51290894
0,0.58594227
0,0.61311805
0,0.7504083
0,0.6117188
0,0.5614799
0,0.6093352
0,0.56464773
1,0.5003619
0,0.5979142
0,0.6394415
0,0.6188197
0,0.7043365
0,0.61819446
0,0.63383865
0,0.6409246
0,0.69075066
0,0.54375994
0,0.5249235
0,0.611792
0,0.6542351
0,0.6541363
0,0.6838878
0,0.72451556
0,0.5867679
0,0.5849836
0,0.54501045
0,0.54381883
0,0.62904376
0,0.6715219
0,0.5759821
0,0.6424018
0,0.6646216
0,0.6863677
0,0.5808417
0,0.5745308
0,0.5817736
0,0.6330775
0,0.54397297
0,0.5539363
0,0.51940393
0,0.58452773
0,0.58806086
0,0.62529194
0,0.5985638
0,0.623368
0,0.71163285
0,0.62668633
0,0.6850306
0,0.5643434
0,0.53885245
0,0.597545
0,0.5129708
0,0.6028818
0,0.589438
0,0.7332192
0,0.6839913
0,0.5758587
0,0.73215485
0,0.51426625
0,0.6234117
1,0.5090488
0,0.7048056
0,0.6202277
0,0.60449415
0,0.65548825
0,0.5043696
0,0.61510926
0,0.6507338
0,0.60002863
0,0.615878
0,0.520326
0,0.6312593
0,0.5425255
0,0.59118295
0,0.6414592
0,0.55507594
0,0.6594743
0,0.5398327
0,0.69484925
0,0.54987407
0,0.61616707
0,0.5747435
0,0.6331594
0,0.5949272
0,0.61077434
0,0.65489924
0,0.55699134
0,0.66630745
0,0.6077257
0,0.5699755
0,0.65557206
0,0.6577668
0,0.5414894
0,0.53137934
0,0.621958
0,0.6295813
0,0.6678114
0,0.5847595
0,0.62913334
0,0.5731058
0,0.5429034
0,0.6695679
0,0.64101064
0,0.50478226
0,0.56398106
0,0.54733497
0,0.5629374
0,0.6497457
0,0.5163397
0,0.51797414
0,0.74835455
0,0.6248822
0,0.66073
0,0.71576446
0,0.69805354
0,0.6017968
0,0.5451895
0,0.54795563
0,0.5804343
0,0.63365453
0,0.5565393
0,0.6076521
0,0.6090728
0,0.55902284
0,0.7016535
0,0.5808707
0,0.6146269
1,0.5137272
1,0.5077677
0,0.71748793
0,0.7834017
0,0.5693919
0,0.56682086
0,0.62769717
0,0.7184477
0,0.7408058
0,0.5282658
0,0.6185126
0,0.7028762
0,0.6220523
0,0.59238774
0,0.67558914
0,0.68348336
0,0.6139215
0,0.63100946
0,0.54636776
0,0.7030617
0,0.5706209
0,0.5826385
0,0.6898027
0,0.6794125
0,0.63293076
0,0.5129708
0,0.59116054
0,0.6398088
0,0.6932992
0,0.7057078
0,0.58811796
0,0.5543176
0,0.5108839
0,0.5931502
0,0.6854855
0,0.6014824
0,0.62650657
0,0.53902054
0,0.6134282
0,0.6229678
0,0.6131322
0,0.6243145
0,0.6420446
0,0.59924114
1,0.516829
0,0.68686384
0,0.55335313
0,0.59702384
0,0.58053243
0,0.5657734
0,0.5657588
0,0.58092314
0,0.55041444
0,0.6137693
0,0.69231814
0,0.5533687
0,0.5804739
0,0.5336939
0,0.5929251
0,0.5800189
0,0.5451895
0,0.55693656
0,0.60547584
0,0.61596334
1,0.5384243
0,0.70831025
0,0.59181607
0,0.65350044
0,0.5001498
0,0.57010794
0,0.68248296
0,0.5640902
0,0.6540101
0,0.74388355
0,0.7583594
0,0.6760479
0,0.5529064
0,0.68316007
0,0.56891394
0,0.54107636
0,0.70079166
0,0.6701244
0,0.56905115
0,0.5614799
0,0.6064464
0,0.56840026
0,0.5886272
0,0.6699889
0,0.6042429
0,0.6556512
0,0.5612885
0,0.6792385
0,0.6391354
0,0.646657
0,0.60761094
0,0.62982595
0,0.55916405
0,0.6304203
0,0.64359295
0,0.5727366
0,0.6425214
0,0.6041323
0,0.66239816
0,0.66832507
0,0.5643434
0,0.57383084
0,0.58025867
0,0.66105014
0,0.520326
0,0.58736783
0,0.60277796
0,0.71616244
0,0.6962489
0,0.58278626
0,0.67767787
0,0.610016
0,0.5645026
0,0.5129708
0,0.59894365
0,0.58041596
0,0.670774
0,0.65858185
0,0.552776
0,0.636649
0,0.65262854
0,0.6356343
0,0.59181
0,0.61135226
0,0.58788294
0,0.61070067
0,0.59784544
